7899753	3932
7899774	3065
7899790	81629
7899797	728116///653121
7899813	5928
7899821	57648
7899829	64766///8565
7899841	3208
7899851	113451
7899870	149076
7899884	7579
7899898	127540
7899905	127540
7899911	84970
7899921	2709
7899927	127534
7899932	2707
7899939	2701
7899943	79830
7899957	9202
7899990	23154
7900001	339488///5690
7900009	192670
7900030	26523
7900051	192669
7900076	27285
7900087	54936
7900095	55700
7900119	9967
7900129	79729
7900146	80149
7900157	6232
7900159	7802
7900167	55143
7900183	149175
7900192	127687
7900201	51118
7900216	79647
7900228	6134///4725
7900235	23499
7900336	23499
7900340	353500
7900352	64064
7900354	10450
7900365	84879
7900382	10487
7900395	6018
7900409	127391
7900413	10269
7900426	64744
7900438	65243
7900446	339559
7900454	64789
7900461	127396
7900468	4802///4802
7900488	407034
7900490	407031
7900492	9132
7900510	1503
7900531	2981
7900540	284716
7900546	79717
7900555	728621
7900576	10465
7900585	4904
7900597	79078
7900603	100129924
7900609	114625
7900624	51058
7900635	440585
7900639	149465///10969
7900654	128218
7900658	7075
7900683	4352
7900699	991
7900710	23334
7900792	5792
7900833	9682
7900857	6487
7900878	9048
7900888	9670
7900911	1802
7900922	533
7900931	8704
7900944	149473
7900957	128209
7900962	55929
7900979	55182
7900999	339541
7901010	11004
7901038	6202
7901046	26811
7901048	94161
7901050	94162
7901052	94163
7901054	343521///1263
7901073	7389
7901087	84842
7901091	114034
7901102	25974
7901110	10327
7901123	4678
7901135	51249
7901140	23139
7901175	10103
7901187	541468///55624
7901192	8438
7901212	7388
7901219	387338
7901229	2166
7901247	127343
7901253	374973
7901256	1580
7901272	260293
7901287	199974
7901293	284541
7901299	51727
7901309	2301
7901311	2306
7901316	200010
7901336	55437
7901342	1996
7901363	1031
7901376	26994
7901385	114883
7901418	91408
7901426	9372
7901447	84950
7901460	2882
7901466	348378
7901479	79699
7901497	440590
7901513	6342
7901535	127435
7901549	1376
7901557	63948
7901565	1733
7901577	115353
7901592	127428
7901601	51253
7901613	338094///26027
7901634	100527960///374977
7901662	7268
7901675	163747
7901687	199964
7901691	7809
7901696	255738
7901720	5563
7901732	731
7901748	55277
7901765	51361
7901788	4774
7901802	414927
7901804	10207
7901860	54596
7901867	7398
7901883	27329
7901895	84938
7901913	27022
7901915	29929
7901931	84455
7901948	79469
7901951	5236
7901969	4919
7901982	148581
7901993	57685
7902023	55225
7902038	205
7902043	645195///9829
7902074	54741///3953
7902104	5142
7902127	84251
7902158	200132
7902166	57708
7902189	149233
7902205	3595
7902227	1647
7902235	57554
7902267	5301
7902269	9295
7902282	11147
7902290	1491
7902308	100526835///8790
7902317	100526835///51086
7902345	127253
7902353	431707
7902367	34
7902382	5876
7902396	692085
7902398	26805
7902400	26804
7902402	5876///4438
7902425	256435
7902435	7167
7902441	81849
7902448	6139
7902452	26289
7902476	374986
7902495	91624
7902512	11080
7902518	54810
7902527	5737
7902541	10964
7902553	10561
7902565	23266
7902592	10620
7902594	5567
7902611	100128775
7902617	148418
7902623	58511
7902634	80135
7902645	100505741
7902660	126820
7902687	3491
7902702	9635
7902721	1179
7902738	22802
7902754	9629
7902771	51100
7902789	9653
7902799	339524
7902808	339524
7902810	8543
7902822	5586
7902850	163351
7902861	23507
7902874	84230
7902883	55144
7902891	284695
7902913	8317
7902930	343477
7902934	676
7902957	253152
7902965	284697
7902977	23285
7902984	388649
7902992	79871
7903010	388650///26782///6125
7903022	6083
7903032	22823
7903049	343099
7903079	1810
7903092	54874
7903119	5825
7903144	126969
7903162	148534
7903171	25950
7903188	58155
7903203	51375
7903214	9890
7903227	54873
7903239	178
